Product Name,Price,Rating,No. of reviews,Buy link
"Redmi Note 7 Pro (Blue, 64 GB)","₹10,999",4.5 out of 5,"8,40,997 Ratings & 72,745 Reviews",https://www.flipkart.com/redmi-note-7-pro-blue-64-gb/p/itm410bac3ec336c?pid=MOBFDXZ376XRTZXH&lid=LSTMOBFDXZ376XRTZXHJS3LVK&marketplace=FLIPKART&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=342f0e8f-6cec-4633-8e9a-cd89be8705ca.MOBFDXZ376XRTZXH.SEARCH&ssid=r0ubw8kuf40000001613052897800&qH=6c53ec9c5a4ebbd0
"Redmi Note 7 Pro (Nebula Red, 128 GB)","₹15,990",4.4 out of 5,"3,14,219 Ratings & 26,362 Reviews",https://www.flipkart.com/redmi-note-7-pro-nebula-red-128-gb/p/itmffyqg5qhzzh4z?pid=MOBFDXZ3TYYTK3UT&lid=LSTMOBFDXZ3TYYTK3UTWWCEI8&marketplace=FLIPKART&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=342f0e8f-6cec-4633-8e9a-cd89be8705ca.MOBFDXZ3TYYTK3UT.SEARCH&ssid=r0ubw8kuf40000001613052897800&qH=6c53ec9c5a4ebbd0
"Redmi Note 7 Pro (Neptune Blue, 64 GB)","₹14,999",4.4 out of 5,"3,14,219 Ratings & 26,362 Reviews",https://www.flipkart.com/redmi-note-7-pro-neptune-blue-64-gb/p/itmfhvueapyyqn2d?pid=MOBFHUQ4WFPBGHPK&lid=LSTMOBFHUQ4WFPBGHPKL8GQZX&marketplace=FLIPKART&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=342f0e8f-6cec-4633-8e9a-cd89be8705ca.MOBFHUQ4WFPBGHPK.SEARCH&ssid=r0ubw8kuf40000001613052897800&qH=6c53ec9c5a4ebbd0
"Redmi Note 7 Pro (Black, 64 GB)","₹14,499",4.5 out of 5,"8,40,997 Ratings & 72,745 Reviews",https://www.flipkart.com/redmi-note-7-pro-black-64-gb/p/itm410bac3ec336c?pid=MOBFDXZ36Y4DJBGM&lid=LSTMOBFDXZ36Y4DJBGMG2LAXK&marketplace=FLIPKART&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=342f0e8f-6cec-4633-8e9a-cd89be8705ca.MOBFDXZ36Y4DJBGM.SEARCH&ssid=r0ubw8kuf40000001613052897800&qH=6c53ec9c5a4ebbd0
"Redmi Note 7 Pro (Neptune Blue, 128 GB)","₹13,999",4.4 out of 5,"3,14,219 Ratings & 26,362 Reviews",https://www.flipkart.com/redmi-note-7-pro-neptune-blue-128-gb/p/itmffdudreuhph5y?pid=MOBFDXZ3Z8WBPDWK&lid=LSTMOBFDXZ3Z8WBPDWKZPE9BP&marketplace=FLIPKART&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=342f0e8f-6cec-4633-8e9a-cd89be8705ca.MOBFDXZ3Z8WBPDWK.SEARCH&ssid=r0ubw8kuf40000001613052897800&qH=6c53ec9c5a4ebbd0
"Redmi Note 7 Pro (Space Black, 64 GB)","₹12,999",4.4 out of 5,"3,14,219 Ratings & 26,362 Reviews",https://www.flipkart.com/redmi-note-7-pro-space-black-64-gb/p/itmfhvuexbzu6fjd?pid=MOBFHUQ4ZPZX89G6&lid=LSTMOBFHUQ4ZPZX89G6KSIIC2&marketplace=FLIPKART&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=342f0e8f-6cec-4633-8e9a-cd89be8705ca.MOBFHUQ4ZPZX89G6.SEARCH&ssid=r0ubw8kuf40000001613052897800&qH=6c53ec9c5a4ebbd0
"Redmi Note 7 Pro (Space Black, 128 GB)","₹13,999",4.4 out of 5,"3,14,219 Ratings & 26,362 Reviews",https://www.flipkart.com/redmi-note-7-pro-space-black-128-gb/p/itmfdxz6j7sdhf4c?pid=MOBFDXZ3TFDKZYHU&lid=LSTMOBFDXZ3TFDKZYHUTNPXQR&marketplace=FLIPKART&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=342f0e8f-6cec-4633-8e9a-cd89be8705ca.MOBFDXZ3TFDKZYHU.SEARCH&ssid=r0ubw8kuf40000001613052897800&qH=6c53ec9c5a4ebbd0
"Redmi Note 7 Pro (Astro Moonlight White, 64 GB)","₹12,999",4.4 out of 5,"3,14,219 Ratings & 26,362 Reviews",https://www.flipkart.com/redmi-note-7-pro-astro-moonlight-white-64-gb/p/itm4f1fcde5bd7a3?pid=MOBFJFZDVPAKHXSD&lid=LSTMOBFJFZDVPAKHXSDUIMKMI&marketplace=FLIPKART&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=342f0e8f-6cec-4633-8e9a-cd89be8705ca.MOBFJFZDVPAKHXSD.SEARCH&ssid=r0ubw8kuf40000001613052897800&qH=6c53ec9c5a4ebbd0
"Redmi Note 7 Pro (Nebula Red, 64 GB)","₹12,999",4.4 out of 5,"3,14,219 Ratings & 26,362 Reviews",https://www.flipkart.com/redmi-note-7-pro-nebula-red-64-gb/p/itmfhuq4xscxhjud?pid=MOBFHUQ4XG4HZ4SH&lid=LSTMOBFHUQ4XG4HZ4SHTHPGTU&marketplace=FLIPKART&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=342f0e8f-6cec-4633-8e9a-cd89be8705ca.MOBFHUQ4XG4HZ4SH.SEARCH&ssid=r0ubw8kuf40000001613052897800&qH=6c53ec9c5a4ebbd0
"Redmi Note 7 Pro (Moonlight White, 64 GB)","₹10,999",4.5 out of 5,"8,40,997 Ratings & 72,745 Reviews",https://www.flipkart.com/redmi-note-7-pro-moonlight-white-64-gb/p/itm96bc2b257e9dd?pid=MOBFJFZDSKB9B8XV&lid=LSTMOBFJFZDSKB9B8XVVUSGN5&marketplace=FLIPKART&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=342f0e8f-6cec-4633-8e9a-cd89be8705ca.MOBFJFZDSKB9B8XV.SEARCH&ssid=r0ubw8kuf40000001613052897800&qH=6c53ec9c5a4ebbd0
