Title,Price,Rating,Reviews,Delivery date,Delivery type,Product link
"Redmi K20 (Glacier Blue, 6GB RAM, 128GB Storage)","₹24,999",4.1 out of 5 stars,872,"Monday, February 8",FREE Delivery by Amazon,https://www.amazon.in//Redmi-K20-Glacier-Storage-Exchange/dp/B082FNDQT7/ref=sr_1_1?dchild=1&keywords=redmi+k20&qid=1612525970&sr=8-1
"Redmi K20 (Flame Red, 6GB RAM, 128GB Storage)","₹24,999",4.1 out of 5 stars,872,"Tomorrow, February 6",FREE Delivery by Amazon,https://www.amazon.in//Redmi-K20-Flame-128GB-Storage/dp/B082FMMD3B/ref=sr_1_2?dchild=1&keywords=redmi+k20&qid=1612525970&sr=8-2
"Redmi K20 (Carbon Black, 6GB RAM, 128GB Storage)","₹23,800",4.1 out of 5 stars,872,"Thursday, February 11",Delivery type not available,https://www.amazon.in//Redmi-K20-Carbon-Black-Storage/dp/B082FNG2D1/ref=sr_1_3?dchild=1&keywords=redmi+k20&qid=1612525970&sr=8-3
"Redmi K20 (Pearl White, 6GB RAM, 128GB Storage)","₹24,999",4.1 out of 5 stars,872,"Monday, February 8",FREE Delivery by Amazon,https://www.amazon.in//Redmi-K20-Pearl-White-Storage/dp/B082FMS6GB/ref=sr_1_4?dchild=1&keywords=redmi+k20&qid=1612525970&sr=8-4
"Redmi K20 Pro (Pearl White, 6GB RAM, 128GB Storage)","₹26,999",4.2 out of 5 stars,"3,717",delivery date not available,FREE Delivery by Amazon,https://www.amazon.in//Redmi-K20-Pro-Pearl-Storage/dp/B07YNT8PDT/ref=sr_1_5?dchild=1&keywords=redmi+k20&qid=1612525970&sr=8-5
"Oppo A31 (Mystery Black, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","₹11,990",4.0 out of 5 stars,"2,627","Monday, February 8",FREE Delivery by Amazon,https://www.amazon.in//Oppo-Mystery-Storage-Additional-Exchange/dp/B08444S68L/ref=sr_1_6?dchild=1&keywords=redmi+k20&qid=1612525970&sr=8-6
"Dr2s fashion Retail Leather Flip Cover Case for Redmi K20, Inner TPU | Foldable Stand | Wallet Card Slots - Chestnut Brown",₹249,rating not available,review not available,"Wednesday, February 10",Delivery type not available,https://www.amazon.in//Vintage-Leather-Redmi-K20-Foldable/dp/B083RX5493/ref=sr_1_7?dchild=1&keywords=redmi+k20&qid=1612525970&sr=8-7
"Samsung Galaxy M21 (Midnight Blue, 6GB RAM, 128GB Storage)","₹15,999",4.2 out of 5 stars,"87,050","Monday, February 8",FREE Delivery by Amazon,https://www.amazon.in//Samsung-Galaxy-Midnight-128GB-Storage/dp/B07HGH88GL/ref=sr_1_8?dchild=1&keywords=redmi+k20&qid=1612525970&sr=8-8
"Oppo A31 (Fantasy White, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","₹11,990",4.0 out of 5 stars,"2,627","Monday, February 8",FREE Delivery by Amazon,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A06798522N7WO2S4C9U95&url=%2FOppo-Fantasy-Storage-Additional-Exchange%2Fdp%2FB08444SXZ6%2Fref%3Dsr_1_9_sspa%3Fdchild%3D1%26keywords%3Dredmi%2Bk20%26qid%3D1612525970%26sr%3D8-9-spons%26psc%3D1&qualifier=1612525970&id=8507151097635659&widgetName=sp_mtf
"Vivo V20 Pro 5G (Sunset Melody, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","₹29,990",4.1 out of 5 stars,395,"Monday, February 8",FREE Delivery by Amazon,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A063992116M8DXGWUXBDM&url=%2FTest-Exclusive239_Sep19%2Fdp%2FB07XG2PKVS%2Fref%3Dsr_1_10_sspa%3Fdchild%3D1%26keywords%3Dredmi%2Bk20%26qid%3D1612525970%26sr%3D8-10-spons%26psc%3D1&qualifier=1612525970&id=8507151097635659&widgetName=sp_mtf
"Samsung Galaxy M31s (Mirage Black, 6GB RAM, 128GB Storage)","₹19,499",4.3 out of 5 stars,"40,507",delivery date not available,FREE Delivery by Amazon,https://www.amazon.in//Samsung-Galaxy-Mirage-Black-Storage/dp/B07DJD1XZ4/ref=sr_1_11?dchild=1&keywords=redmi+k20&qid=1612525970&sr=8-11
"Samsung Galaxy M51 (Celestial Black, 6GB RAM, 128GB Storage)","₹22,999",4.4 out of 5 stars,"28,718","Tomorrow, February 6",FREE Delivery by Amazon,https://www.amazon.in//Samsung-Galaxy-Celestial-Black-Storage/dp/B085J1X78K/ref=sr_1_12?dchild=1&keywords=redmi+k20&qid=1612525970&sr=8-12
"Samsung Galaxy M51 (Electric Blue, 6GB RAM, 128GB Storage)","₹22,999",4.4 out of 5 stars,"28,718","Monday, February 8",FREE Delivery by Amazon,https://www.amazon.in//Samsung-Galaxy-Electric-Blue-128GB-Storage/dp/B085J1J32G/ref=sr_1_13?dchild=1&keywords=redmi+k20&qid=1612525970&sr=8-13
"Oppo A31 (Fantasy White, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","₹11,990",4.0 out of 5 stars,"2,627","Monday, February 8",FREE Delivery by Amazon,https://www.amazon.in//Oppo-Fantasy-Storage-Additional-Exchange/dp/B08444SXZ6/ref=sr_1_14?dchild=1&keywords=redmi+k20&qid=1612525970&sr=8-14
"Samsung Galaxy M51 (Celestial Black, 8GB RAM, 128GB Storage)","₹24,999",4.4 out of 5 stars,"28,718","Monday, February 8",FREE Delivery by Amazon,https://www.amazon.in//Samsung-Galaxy-Celestial-Black-Storage/dp/B085J1CPCW/ref=sr_1_15?dchild=1&keywords=redmi+k20&qid=1612525970&sr=8-15
"Vivo Y51 (Crystal Symphony, 8GB RAM, 128GB ROM) with No Cost EMI/Additional Exchange Offers","₹17,990",3.6 out of 5 stars,93,"Tomorrow, February 6",FREE Delivery by Amazon,https://www.amazon.in//Test-Exclusive244_Sep19/dp/B07XBYLRVP/ref=sr_1_16?dchild=1&keywords=redmi+k20&qid=1612525970&sr=8-16
Redmi 9 Power (Mighty Black 4GB RAM 64GB Storage) - 6000mAh Battery | 48MP Quad Camera,"₹10,999",3.7 out of 5 stars,"2,003","Monday, February 8",FREE Delivery by Amazon,https://www.amazon.in//Test-Exclusive_2020_1112-Multi-3GB-Storage/dp/B089MS7D8F/ref=sr_1_17?dchild=1&keywords=redmi+k20&qid=1612525970&sr=8-17
"Oppo F17 (Navy Blue, 6GB RAM, 128GB Storage) With No Cost EMI/Additional Exchange Offers","₹16,990",3.7 out of 5 stars,780,"Tomorrow, February 6",FREE Delivery by Amazon,https://www.amazon.in//128GB-Storage-Additional-Exchange-Offers/dp/B086KDJ6NP/ref=sr_1_18?dchild=1&keywords=redmi+k20&qid=1612525970&sr=8-18
"OPPO A15 (Dynamic Black, 3GB RAM, 32GB Storage)","₹9,990",4.0 out of 5 stars,115,"Tomorrow, February 6",FREE Delivery by Amazon,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A052074624B0UAPD3E8PQ&url=%2FTest-TST_Exclusive1020-Exclusive-1020%2Fdp%2FB0844516JL%2Fref%3Dsr_1_19_sspa%3Fdchild%3D1%26keywords%3Dredmi%2Bk20%26qid%3D1612525970%26sr%3D8-19-spons%26psc%3D1&qualifier=1612525970&id=8507151097635659&widgetName=sp_btf
"OPPO A15s (Fancy White, 4GB RAM, 64GB Storage)","₹11,490",3.2 out of 5 stars,66,"Monday, February 8",FREE Delivery by Amazon,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A0686904FE92QMOI0HJS&url=%2FTest-TST_Exclusive1004-Exclusive-1004%2Fdp%2FB08444Z7QM%2Fref%3Dsr_1_20_sspa%3Fdchild%3D1%26keywords%3Dredmi%2Bk20%26qid%3D1612525970%26sr%3D8-20-spons%26psc%3D1&qualifier=1612525970&id=8507151097635659&widgetName=sp_btf
