Product title,Product rating,Reviews count,product offers,Buy link
"Apple iPhone 12 (Black, 64 GB)",4.7 out of 5,"1,289 Ratings & 116 Reviews","₹79,900",https://www.flipkart.com/apple-iphone-12-black-64-gb/p/itma2559422bf7c7?pid=MOBFWBYZU5FWK2VP&lid=LSTMOBFWBYZU5FWK2VP98XIL4&marketplace=FLIPKART&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=a1f91b20-25ab-4188-98e7-f53e88463220.MOBFWBYZU5FWK2VP.SEARCH&ssid=bi7bpkbmwg0000001612245745717&qH=7b7504afcaf2e1ea
"Apple iPhone 12 (Red, 64 GB)",4.7 out of 5,"1,289 Ratings & 116 Reviews","₹79,900",https://www.flipkart.com/apple-iphone-12-red-64-gb/p/itm3481e4053d500?pid=MOBFWBYZDP6QCQ8F&lid=LSTMOBFWBYZDP6QCQ8FEL9UPN&marketplace=FLIPKART&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=a1f91b20-25ab-4188-98e7-f53e88463220.MOBFWBYZDP6QCQ8F.SEARCH&ssid=bi7bpkbmwg0000001612245745717&qH=7b7504afcaf2e1ea
"Apple iPhone 12 (Red, 128 GB)",4.7 out of 5,"1,289 Ratings & 116 Reviews","₹84,900",https://www.flipkart.com/apple-iphone-12-red-128-gb/p/itma7bd86885ed98?pid=MOBFWBYZUHPFWQRD&lid=LSTMOBFWBYZUHPFWQRD7UBXC2&marketplace=FLIPKART&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=a1f91b20-25ab-4188-98e7-f53e88463220.MOBFWBYZUHPFWQRD.SEARCH&ssid=bi7bpkbmwg0000001612245745717&qH=7b7504afcaf2e1ea
"Apple iPhone 12 (White, 64 GB)",4.7 out of 5,"1,289 Ratings & 116 Reviews","₹79,900",https://www.flipkart.com/apple-iphone-12-white-64-gb/p/itm8b88bdc03cd79?pid=MOBFWBYZTK33MBG9&lid=LSTMOBFWBYZTK33MBG9YC4F9Y&marketplace=FLIPKART&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=a1f91b20-25ab-4188-98e7-f53e88463220.MOBFWBYZTK33MBG9.SEARCH&ssid=bi7bpkbmwg0000001612245745717&qH=7b7504afcaf2e1ea
"Apple iPhone 12 (Blue, 64 GB)",4.7 out of 5,"1,289 Ratings & 116 Reviews","₹79,900",https://www.flipkart.com/apple-iphone-12-blue-64-gb/p/itm5778ad0d0d255?pid=MOBFWBYZ8DNJNY7N&lid=LSTMOBFWBYZ8DNJNY7NOXBUPN&marketplace=FLIPKART&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=a1f91b20-25ab-4188-98e7-f53e88463220.MOBFWBYZ8DNJNY7N.SEARCH&ssid=bi7bpkbmwg0000001612245745717&qH=7b7504afcaf2e1ea
"Apple iPhone 12 (Green, 128 GB)",4.7 out of 5,"1,289 Ratings & 116 Reviews","₹84,900",https://www.flipkart.com/apple-iphone-12-green-128-gb/p/itm4e0a120f7d9c4?pid=MOBFWBYZQXUEHF48&lid=LSTMOBFWBYZQXUEHF487CPMKU&marketplace=FLIPKART&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=a1f91b20-25ab-4188-98e7-f53e88463220.MOBFWBYZQXUEHF48.SEARCH&ssid=bi7bpkbmwg0000001612245745717&qH=7b7504afcaf2e1ea
"Apple iPhone 12 (Green, 64 GB)",4.7 out of 5,"1,289 Ratings & 116 Reviews","₹79,900",https://www.flipkart.com/apple-iphone-12-green-64-gb/p/itmc8a19a9686173?pid=MOBFWBYZKK3EJPFW&lid=LSTMOBFWBYZKK3EJPFWBJCVXA&marketplace=FLIPKART&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=a1f91b20-25ab-4188-98e7-f53e88463220.MOBFWBYZKK3EJPFW.SEARCH&ssid=bi7bpkbmwg0000001612245745717&qH=7b7504afcaf2e1ea
"Apple iPhone 12 (Blue, 128 GB)",4.7 out of 5,"1,289 Ratings & 116 Reviews","₹84,900",https://www.flipkart.com/apple-iphone-12-blue-128-gb/p/itm02853ae92e90a?pid=MOBFWBYZKPTZF9VG&lid=LSTMOBFWBYZKPTZF9VG6GMIFT&marketplace=FLIPKART&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=a1f91b20-25ab-4188-98e7-f53e88463220.MOBFWBYZKPTZF9VG.SEARCH&ssid=bi7bpkbmwg0000001612245745717&qH=7b7504afcaf2e1ea
"Apple iPhone 12 (Black, 128 GB)",4.7 out of 5,"1,289 Ratings & 116 Reviews","₹84,900",https://www.flipkart.com/apple-iphone-12-black-128-gb/p/itmf1f0a58f1ecd7?pid=MOBFWBYZK3HACR72&lid=LSTMOBFWBYZK3HACR72SELGT5&marketplace=FLIPKART&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=a1f91b20-25ab-4188-98e7-f53e88463220.MOBFWBYZK3HACR72.SEARCH&ssid=bi7bpkbmwg0000001612245745717&qH=7b7504afcaf2e1ea
"Apple iPhone 12 (White, 256 GB)",4.7 out of 5,"1,289 Ratings & 116 Reviews","₹94,900",https://www.flipkart.com/apple-iphone-12-white-256-gb/p/itmcfbcb621e6326?pid=MOBFWBYZMNGZVMJE&lid=LSTMOBFWBYZMNGZVMJEQYPFS1&marketplace=FLIPKART&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=a1f91b20-25ab-4188-98e7-f53e88463220.MOBFWBYZMNGZVMJE.SEARCH&ssid=bi7bpkbmwg0000001612245745717&qH=7b7504afcaf2e1ea
