Title,Price,Rating,Reviews,Delivery date,Delivery type,Product link
Core Python Programming,₹699,4.5 out of 5 stars,by ,"Monday, February 8",Delivery type not available,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A06693881ORULDRM9SIRC&url=%2FCore-Python-Programming-Nageswara-Rao%2Fdp%2F938605230X%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dpython%2Bbook%26qid%3D1612356722%26sr%3D8-1-spons%26psc%3D1&qualifier=1612356722&id=4161543021673326&widgetName=sp_atf
Learning with Python,₹314,4.0 out of 5 stars,by ,"Saturday, February 6",FREE Delivery over ₹499. Fulfilled by Amazon.,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0083596R6SGQ5QESWF6&url=%2FLearning-Python-Allen-Downey%2Fdp%2F9351198146%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dpython%2Bbook%26qid%3D1612356722%26sr%3D8-2-spons%26psc%3D1&qualifier=1612356722&id=4161543021673326&widgetName=sp_atf
"Python Crash Course, 2nd Edition: A Hands-On, Project-Based Introduction to Programming","₹1,199",4.7 out of 5 stars,by ,"Saturday, February 6",FREE Delivery by Amazon,https://www.amazon.in//Python-Crash-Course-Eric-Matthes/dp/1593279280/ref=sr_1_3?dchild=1&keywords=python+book&qid=1612356722&sr=8-3
Let Us Python,₹290,4.0 out of 5 stars,by ,"Friday, February 5",FREE Delivery over ₹499. Fulfilled by Amazon.,https://www.amazon.in//Let-Us-Python-Yashavant-Kanetkar/dp/9388511565/ref=sr_1_4?dchild=1&keywords=python+book&qid=1612356722&sr=8-4
Python: The Complete Reference,₹492,4.1 out of 5 stars,by ,"Friday, February 5",FREE Delivery over ₹499. Fulfilled by Amazon.,https://www.amazon.in//Python-Complete-Reference-Martin-Brown/dp/9387572943/ref=sr_1_5?dchild=1&keywords=python+book&qid=1612356722&sr=8-5
Core Python Programming,₹699,4.5 out of 5 stars,by ,"Monday, February 8",Delivery type not available,https://www.amazon.in//Core-Python-Programming-Nageswara-Rao/dp/938605230X/ref=sr_1_6?dchild=1&keywords=python+book&qid=1612356722&sr=8-6
Learning with Python,₹314,4.0 out of 5 stars,by ,"Saturday, February 6",FREE Delivery over ₹499. Fulfilled by Amazon.,https://www.amazon.in//Learning-Python-Allen-Downey/dp/9351198146/ref=sr_1_7?dchild=1&keywords=python+book&qid=1612356722&sr=8-7
Python Programming: Using Problem Solving Approach,₹495,4.4 out of 5 stars,by ,"Friday, February 5",FREE Delivery over ₹499. Fulfilled by Amazon.,https://www.amazon.in//Python-Programming-Problem-Solving-Approach/dp/0199480176/ref=sr_1_8?dchild=1&keywords=python+book&qid=1612356722&sr=8-8
Python Programming |A modular approach | First Edition | By Pearson,₹410,4.2 out of 5 stars,by ,"Friday, February 5",FREE Delivery over ₹499. Fulfilled by Amazon.,https://www.amazon.in//Python-Programming-modular-approach-Pearson/dp/9332585342/ref=sr_1_9?dchild=1&keywords=python+book&qid=1612356722&sr=8-9
Programming in Python 3: A Complete Introduction to the Python Language,₹609,4.1 out of 5 stars,by ,"Wednesday, February 10",Delivery type not available,https://www.amazon.in//Programming-Python-Complete-Introduction-Language/dp/9352869176/ref=sr_1_10?dchild=1&keywords=python+book&qid=1612356722&sr=8-10
