title,price,rating,review-count
"
Crucial 8GB Single DDR4 2666 MT/s (PC4-21300) SR x8 DIMM 288-Pin Memory - CT8G4DFS8266
","₹2,949",4.7 out of 5 stars,"2,230"
"
Crucial RAM 8GB DDR4 2666 MHz CL19 Laptop Memory CT8G4SFRA266
","₹2,950",4.5 out of 5 stars,"4,309"
"
HyperX Fury 8GB 3200MHz DDR4 CL16 DIMM 1Rx8  Black XMP Desktop Memory (HX432C16FB3/8)
","₹3,950",4.5 out of 5 stars,"9,253"
"
Crucial Basics 8GB DDR4 1.2v 2666Mhz CL19 SODIMM RAM Memory Module for Laptops and Notebooks
","₹2,870",4.4 out of 5 stars,199
"
Crucial RAM 8GB DDR4 2666 MHz CL19 Laptop Memory CT8G4SFRA266
","₹2,950",4.5 out of 5 stars,"4,309"
"
Crucial Basics 8GB DDR4 1.2v 2666Mhz CL19 UDIMM RAM Memory Module for Desktop
","₹3,249",4.6 out of 5 stars,35
"
XPG ADATA GAMMIX D30 DDR4 8GB (1x8GB) 3200MHz U-DIMM Desktop Memory -AX4U320038G16A-SR30
","₹2,993",4.6 out of 5 stars,171
"
XPG ADATA GAMMIX D30 DDR4 8GB (1x8GB) 3000MHz U-DIMM Desktop Memory -AX4U300038G16A-SR30
","₹3,414",4.6 out of 5 stars,383
"
Crucial CT8G4SFS824A 8GB DDR4-2400 PC4-19200 CL-17 SODIMM RAM
","₹3,025",4.5 out of 5 stars,"21,244"
"
Corsair Vengeance LPX 8GB DDR4 3000 (PC4-24000) C16 PC Memory (CMK8GX4M1D3000C16)
","₹4,144",4.6 out of 5 stars,"3,738"
"
Ballistix Crucial RGB 3000 MHz DDR4 DRAM Desktop Gaming Memory Kit 16GB (8GBx2) CL15 BL2K8G30C15U4BL (Black)
","₹6,848",4.7 out of 5 stars,"2,331"
"
XPG Adata GAMMIX D30 8GB 3000Mhz DDR4 U-DIMM Desktop RAM
","₹3,450",4.6 out of 5 stars,383
"
Crucial RAM 8GB DDR4 2400 MHz CL17 Desktop Memory CT8G4DFS824A
",not available,4.4 out of 5 stars,"2,828"
"
Crucial 8GB DDR4 1.2V 2400Mhz CL17 SODIMM RAM Memory Module for Notebooks and Laptops
","₹2,789",4.6 out of 5 stars,808
"
HyperX Fury 8GB 2400MHz DDR4 CL15 DIMM 1Rx8  Black XMP Desktop Memory (HX424C15FB3/8)
","₹3,104",4.8 out of 5 stars,557
"
G.SKILL Trident Z RGB 8GB (1 * 8GB) DDR4 3200MHz CL16-18-18-38 1.35V Desktop Memory RAM - F4-3200C16S-8GTZR
","₹5,399",4.2 out of 5 stars,14
"
G.SKILL Ripjaws SO-DIMM 8GB (1 * 8GB) DDR4 2666MHz CL19-19-19 1.20V Laptop Memory RAM - F4-2666C19S-8GRS
","₹2,490",4.8 out of 5 stars,8
"
LEVEN Lares 8GB PC4-19200 DDR4-2400MHz 288-Pin U-DIMM CL17 Desktop RAM Memory Module (JR4UL2400172408-8M)
",not available,4.3 out of 5 stars,32
"
Mente Heat Sink DDR4 8GB 3000MHZ Desktop Memory RAM with 3 Year Manufacturer Warranty
","₹2,779",,
"
Lexar RAM DDR4 Desktop 8GB
","₹2,720",,
"
XPG ADATA GAMMIX D30 DDR4 8GB (1x8GB) 3200MHz U-DIMM Desktop Memory -AX4U320038G16A-SR30
","₹2,993",4.6 out of 5 stars,171
"
Adata XPG GAMMIX D30 16GB 3000Mhz DDR4 U-DIMM Desktop RAM
","₹5,999",4.6 out of 5 stars,27
