Product title,Product priceProduct rating,Reviews count,Buy link
"Redmi Note 9 Pro (Interstellar Black, 64 GB)","₹13,499",4.4 out of 5,"14,233 Ratings & 1,025 Reviews",https://www.flipkart.com/redmi-note-9-pro-interstellar-black-64-gb/p/itma84d60532d415?pid=MOBFPZXUJHMYCBFK&lid=LSTMOBFPZXUJHMYCBFKPL3KL8&marketplace=FLIPKART&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=1c2fd8ca-db36-49f5-951d-0925344ad019.MOBFPZXUJHMYCBFK.SEARCH&ssid=d8iealeqog0000001612368369781&qH=37347601431fd8b4
"Redmi Note 9 Pro (Interstellar Black, 128 GB)","₹17,049",4.3 out of 5,"1,049 Ratings & 65 Reviews",https://www.flipkart.com/redmi-note-9-pro-interstellar-black-128-gb/p/itma84d60532d415?pid=MOBFPZXUT5FX9GUH&lid=LSTMOBFPZXUT5FX9GUHBV7YRQ&marketplace=FLIPKART&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=1c2fd8ca-db36-49f5-951d-0925344ad019.MOBFPZXUT5FX9GUH.SEARCH&ssid=d8iealeqog0000001612368369781&qH=37347601431fd8b4
"Redmi Note 9 Pro (Aurora Blue, 128 GB)","₹14,781",4.4 out of 5,"14,233 Ratings & 1,025 Reviews",https://www.flipkart.com/redmi-note-9-pro-aurora-blue-128-gb/p/itma84d60532d415?pid=MOBFUUN6B5XSFYXT&lid=LSTMOBFUUN6B5XSFYXTBNVX5C&marketplace=FLIPKART&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=1c2fd8ca-db36-49f5-951d-0925344ad019.MOBFUUN6B5XSFYXT.SEARCH&ssid=d8iealeqog0000001612368369781&qH=37347601431fd8b4
"Redmi Note 9 Pro Max (Glacier White, 128 GB)","₹18,743",4.4 out of 5,"5,388 Ratings & 445 Reviews",https://www.flipkart.com/redmi-note-9-pro-max-glacier-white-128-gb/p/itm1f4b8a12f5710?pid=MOBFRWZNDTQSCQCB&lid=LSTMOBFRWZNDTQSCQCBMKKHMS&marketplace=FLIPKART&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=1c2fd8ca-db36-49f5-951d-0925344ad019.MOBFRWZNDTQSCQCB.SEARCH&ssid=d8iealeqog0000001612368369781&qH=37347601431fd8b4
"Redmi Note 9 (Aqua Green, 64 GB)","₹12,194",4.3 out of 5,"15,217 Ratings & 1,127 Reviews",https://www.flipkart.com/redmi-note-9-aqua-green-64-gb/p/itm12201c2ee63e5?pid=MOBFU3ZFAB7VQJHY&lid=LSTMOBFU3ZFAB7VQJHYOLTVIU&marketplace=FLIPKART&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=1c2fd8ca-db36-49f5-951d-0925344ad019.MOBFU3ZFAB7VQJHY.SEARCH&ssid=d8iealeqog0000001612368369781&qH=37347601431fd8b4
"Redmi Note 9 (Arctic White, 128 GB)","₹15,199",4.3 out of 5,"2,188 Ratings & 146 Reviews",https://www.flipkart.com/redmi-note-9-arctic-white-128-gb/p/itme9d4da670b8ba?pid=MOBFU3ZFPDTEAHHZ&lid=LSTMOBFU3ZFPDTEAHHZ3WZXNR&marketplace=FLIPKART&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=1c2fd8ca-db36-49f5-951d-0925344ad019.MOBFU3ZFPDTEAHHZ.SEARCH&ssid=d8iealeqog0000001612368369781&qH=37347601431fd8b4
"Redmi Note 9 (Pebble Grey, 128 GB)","₹13,565",4.3 out of 5,"15,217 Ratings & 1,127 Reviews",https://www.flipkart.com/redmi-note-9-pebble-grey-128-gb/p/itm12201c2ee63e5?pid=MOBFU3ZFTEA5EWEV&lid=LSTMOBFU3ZFTEA5EWEVGKCG5W&marketplace=FLIPKART&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=1c2fd8ca-db36-49f5-951d-0925344ad019.MOBFU3ZFTEA5EWEV.SEARCH&ssid=d8iealeqog0000001612368369781&qH=37347601431fd8b4
"Redmi Note 9 (Pebble Grey, 64 GB)","₹12,618",4.3 out of 5,"15,217 Ratings & 1,127 Reviews",https://www.flipkart.com/redmi-note-9-pebble-grey-64-gb/p/itm12201c2ee63e5?pid=MOBFU3ZFQ3GAGANG&lid=LSTMOBFU3ZFQ3GAGANGMKROVO&marketplace=FLIPKART&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=1c2fd8ca-db36-49f5-951d-0925344ad019.MOBFU3ZFQ3GAGANG.SEARCH&ssid=d8iealeqog0000001612368369781&qH=37347601431fd8b4
"Redmi Note 9 Pro (Glacier White, 128 GB)","₹14,560",4.4 out of 5,"14,233 Ratings & 1,025 Reviews",https://www.flipkart.com/redmi-note-9-pro-glacier-white-128-gb/p/itma84d60532d415?pid=MOBFUSGFZDDJHWMG&lid=LSTMOBFUSGFZDDJHWMGRB7BWU&marketplace=FLIPKART&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=1c2fd8ca-db36-49f5-951d-0925344ad019.MOBFUSGFZDDJHWMG.SEARCH&ssid=d8iealeqog0000001612368369781&qH=37347601431fd8b4
"Redmi Note 9 (Arctic White, 64 GB)","₹12,726",4.3 out of 5,"15,217 Ratings & 1,127 Reviews",https://www.flipkart.com/redmi-note-9-arctic-white-64-gb/p/itm12201c2ee63e5?pid=MOBFU3ZFXMWJCSHP&lid=LSTMOBFU3ZFXMWJCSHPKMKXWJ&marketplace=FLIPKART&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=1c2fd8ca-db36-49f5-951d-0925344ad019.MOBFU3ZFXMWJCSHP.SEARCH&ssid=d8iealeqog0000001612368369781&qH=37347601431fd8b4
