Description,Price,Rating,ReviewCount
"New Apple MacBook Pro with Apple M1 Chip (13-inch, 8GB RAM, 256GB SSD) - Silver (Latest Model)","₹1,22,900",4.2 out of 5 stars,38,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0706246N9AZ04HOXJUG&url=%2FApple-MacBook-Chip-13-inch-256GB%2Fdp%2FB08N5WG761%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dmacbook%2Bpro%26qid%3D1612123758%26sr%3D8-1-spons%26psc%3D1&qualifier=1612123758&id=7455143435400147&widgetName=sp_atf
"New Apple MacBook Air (13-inch, 1.1GHz Quad-core 10th-Generation Intel Core i5 Processor, 8GB RAM, 512GB Storage) - Silver","₹1,18,990",4.3 out of 5 stars,234,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A06903221BFLNO6GORXSU&url=%2FApple-Quad-core-10th-Generation-Intel-Core-i5-Processor%2Fdp%2FB0864J9X4H%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dmacbook%2Bpro%26qid%3D1612123758%26sr%3D8-2-spons%26psc%3D1&qualifier=1612123758&id=7455143435400147&widgetName=sp_atf
"New Apple MacBook Pro with Apple M1 Chip (13-inch, 8GB RAM, 256GB SSD) - Space Grey (Latest Model)","₹1,22,900",4.2 out of 5 stars,38,https://www.amazon.com/Apple-MacBook-Chip-13-inch-256GB/dp/B08N5VSQNG/ref=sr_1_3?dchild=1&keywords=macbook+pro&qid=1612123758&sr=8-3
"New Apple MacBook Air (13-inch, 1.1GHz Dual-core 10th-Generation Intel Core i3 Processor, 8GB RAM, 256GB Storage) - Space Grey","₹83,990",4.3 out of 5 stars,234,https://www.amazon.com/Apple-Dual-core-10th-Generation-Intel-Core-i3-Processor/dp/B0864JT3GT/ref=sr_1_4?dchild=1&keywords=macbook+pro&qid=1612123758&sr=8-4
"New Apple Mac Mini (3.0GHz 6-core 8th-Generation Intel Core i5 Processor, 8GB RAM, 512GB)","₹1,04,900",4.2 out of 5 stars,15,https://www.amazon.com/Apple-3-0GHz-6-core-8th-Generation-Processor/dp/B0864KFBNP/ref=sr_1_5?dchild=1&keywords=macbook+pro&qid=1612123758&sr=8-5
"Apple MacBook Air (13-inch, 8GB RAM, 128GB Storage, 1.8GHz Intel Core i5) - Silver","₹65,990",4.3 out of 5 stars,"3,182",https://www.amazon.com/Apple-MacBook-Air-13-3-inch-MQD32HN/dp/B073Q5R6VR/ref=sr_1_6?dchild=1&keywords=macbook+pro&qid=1612123758&sr=8-6
"ASUS ZenBook Pro Duo Intel Core i7-10750H 10th Gen 15.6"" 4K UHD OLED Touchscreen Laptop (32GB RAM/1TB NVMe SSD/Windows 10/6GB NVIDIA GeForce RTX 2060 Graphics/Celestial Blue/2.5 Kg), UX581LV-H2034T","₹2,22,900",3.9 out of 5 stars,7,https://www.amazon.com/ASUS-i7-10750H-Touchscreen-Celestial-UX581LV-H2034T/dp/B08CHGCBY9/ref=sr_1_7?dchild=1&keywords=macbook+pro&qid=1612123758&sr=8-7
"ASUS ZenBook Duo Intel Core i7-10510U 10th Gen 14-inch FHD Thin and Light Laptop (16GB RAM/1TB NVMe SSD/Windows 10/2GB NVIDIA GeForce MX250 Graphics/1.60 Kg), UX481FL-BM149T","₹1,12,990",4.0 out of 5 stars,25,https://www.amazon.com/ASUS-ZenBook-i7-10510U-Graphics-UX481FL-BM149T/dp/B08BPP455H/ref=sr_1_8?dchild=1&keywords=macbook+pro&qid=1612123758&sr=8-8
"Microsoft Surface Pro X 1876 13-inch Laptop (Microsoft SQ1/8GB/128GB SSD/Windows 10 Home/Microsoft SQ1 Adreno 685 GPU Graphics), Matte Black","₹85,490",3.8 out of 5 stars,29,https://www.amazon.com/Microsoft-Surface-1876-13-inch-Graphics/dp/B086ZCH5HT/ref=sr_1_9?dchild=1&keywords=macbook+pro&qid=1612123758&sr=8-9
"Microsoft Surface GO 2 STQ-00013 10.1-inch Laptop (Gold Processor 4425Y/8GB/128GB SSD/Windows 10 Home in S Mode/Intel UHD 615 Graphics), Platinum","₹57,997",3.3 out of 5 stars,24,https://www.amazon.com/Microsoft-STQ-00013-10-1-inch-Processor-Graphics/dp/B08DHHB2W1/ref=sr_1_10?dchild=1&keywords=macbook+pro&qid=1612123758&sr=8-10
