Title,Price,Location,Date,Buy link
HONDA CBUNICORN;MODEL 2017;SELF ALLOY FRONT DISC BRAKE.,"₹ 73,750","Kalavasal, Madurai",Jan 25,https://www.olx.in/item/honda-cbunicornmodel-2017self-alloy-front-disc-brake-iid-1619506174
Activa 5g special Edition,"₹ 69,000","Sidhpur, Gujarat",6 days ago,https://www.olx.in/item/activa-5g-special-edition-iid-1620632486
NEw look Honda dio,"₹ 12,000","Nizampet, Hyderabad",Jan 13,https://www.olx.in/item/new-look-honda-dio-iid-1597925743
I want new bike,"₹ 24,000","Oscar City, Bhubaneshwar",Today,https://www.olx.in/item/i-want-new-bike-iid-1621710588
BIKE SCOOTY GOOD CONDITIONS,"₹ 20,999","Dallanwala, Dehradun",Today,https://www.olx.in/item/bike-scooty-good-conditions-iid-1621709987
Now bike condition ok,"₹ 16,500","Ashok Vihar, Dehradun",Today,https://www.olx.in/item/now-bike-condition-ok-iid-1621709975
Honda activ 2018 excellent condition,"₹ 50,000","Haidarpur, Delhi",Today,https://www.olx.in/item/honda-activ-2018-excellent-condition-iid-1621709972
Sell.          condition,"₹ 25,000","Badlapur West, Ulhasnagar",Today,https://www.olx.in/item/sell-condition-iid-1621709953
Music ..system,"₹ 28,500","Parel, Mumbai",Today,https://www.olx.in/item/music-system-iid-1621709918
Yas.         Yas.         Yes.          Yas.         Yas,"₹ 15,000","Nanjappa Reddy Colony, Bengaluru",Today,https://www.olx.in/item/yas-yas-yes-yas-yas-iid-1621709845
Scooty is condition,"₹ 23,500","Dongarinak, Mumbai",Today,https://www.olx.in/item/scooty-is-condition-iid-1621709829
Honda Activa dlx bs6 pay 5555 grand new year offer,"₹ 5,555","T Nagar, Chennai",5 days ago,https://www.olx.in/item/honda-activa-dlx-bs6-pay-5555-grand-new-year-offer-iid-1613413987
Honda Activa 5G,"₹ 65,000","Naroda, Ahmedabad",3 days ago,https://www.olx.in/item/honda-activa-5g-iid-1621199238
Honda Activa 4g - 2018 model- 1st owner,"₹ 49,000","Mumbai Central, Mumbai",Jan 25,https://www.olx.in/item/honda-activa-4g-2018-model-1st-owner-iid-1619472813
Gadi 2018book,"₹ 18,500","Palava City, Mumbai",Today,https://www.olx.in/item/gadi-2018book-iid-1621709745
Unicorn 150,"₹ 35,000","Peddur, Alangayam",Today,https://www.olx.in/item/unicorn-150-iid-1621709727
Top condition new engine fitting,"₹ 17,500","Nandanvan Society, Halol",Today,https://www.olx.in/item/top-condition-new-engine-fitting-iid-1621709709
I want to sell my bike best price 90cc average,"₹ 14,500","Ulhasnagar, Thane",Today,https://www.olx.in/item/i-want-to-sell-my-bike-best-price-90cc-average-iid-1621709698
Honda unicorn 160,"₹ 60,000","Vadgaon, Pune",Today,https://www.olx.in/item/honda-unicorn-160-iid-1621709632
Ok                      Ok,"₹ 20,000","Mini Satellite Township, Colvale",Today,https://www.olx.in/item/ok-ok-iid-1621709560
