Title,Price,Location,Date
Honda activa,"₹ 47,000","Moosapet, Hyderabad",Jan 27
New Honda ActivaScooter lowdown payment 12000 special offer,"₹ 12,000","Keesara Daira, Hyderabad",Dec 14
Low down payment 14000,"₹ 11,999","Dammaiguda, Hyderabad",Jan 11
Horner160r,"₹ 75,000","Dumdum Cantonment, Kolkata",Today
Model price offer selling,"₹ 17,500","Kalyan East, Mumbai",Today
Brand new in good condition,"₹ 17,000","Hardeep Colony, Sri Ganganagar",Today
New.. . bike.. sale,"₹ 22,599","Dr Rajendra Prasad Circle, Jabalpur",Today
Good.            The,"₹ 20,000","Bidaraguppe, Bengaluru",Today
Hook Igbo HCl and border,"₹ 28,000","APMC Yard Yeswanthpur, Bengaluru",Today
Tikes in good condition,"₹ 18,000","Krushi Nagar, Darwha",Today
Activa dlx,"₹ 15,000","Chototingrai Te 54 Fs, Tinsukia",Today
Very igood iveryi goodiiikk,"₹ 23,000","Arfath Nagar, Hyderabad",Today
A baik in good condition,"₹ 28,999","Syamaghanapur, Mundamarai",Today
Good cundition,"₹ 12,000","Virar East, Mumbai",Today
Good condition 2018 model,"₹ 15,500","Sangmeshwar Colony, Latur",Today
Activa 2014 उपलब्ध है खरीदने के लिए सम्पर्क करें इस पते पर,"₹ 34,000","Shekhpur, Muzaffarpur",Jan 26
New Honda activa 6g bs6 2020,"₹ 11,000","Uppal, Hyderabad",Nov 10
11000 HONDA ACTIVA 6G STD 11000,"₹ 11,000","Habsiguda, Hyderabad",Nov 10
Honda.            Dream.             Yoga.,"₹ 25,005","Mitra Nagar, Latur",Today
I go to sale,"₹ 20,000","BTM Layout Stage 2, Bengaluru",Today
